B28	「第六〇一航空隊」出撃せよ！	雲龍型航空母艦「雲龍改」含む機動部隊で珊瑚島沖に出撃、敵機動部隊を撃滅せよ！\n\n※「敵機動部隊本隊」(5-2ボス戦)にS勝利で達成。旗艦の指定なし\n\n※「雲龍改」でのみ達成可
B29	「軽空母」戦隊、出撃せよ！	軽空母1～2隻、軽巡1隻、駆逐艦3～4隻の艦隊で南西諸島近海の敵を撃滅せよ！\n\n※「敵主力艦隊」(2-1ボス戦)にS勝利で達成\n\n※軽空母、軽巡、駆逐艦以外の艦種を投入すると達成不可
B30	「水雷戦隊」バシー島沖緊急展開	軽巡を旗艦とした水雷戦隊(軽巡最大2隻他駆逐艦)でバシー島沖の敵を撃滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)にS勝利で達成\n\n※軽巡、駆逐艦以外の艦種を投入すると達成不可
B31	「第二戦隊」抜錨！	「第二戦隊」を基幹とした艦隊でカレー洋に進出、反復出撃により敵海上兵力を撃破せよ！\n\n※「東方主力艦隊」(4-2ボス戦)に2回S勝利で達成\n\n※第二戦隊(長門型/扶桑型)の4隻+自由枠
B32	「戦艦部隊」北方海域に突入せよ！	戦艦2隻と直援軽空母1隻(正規空母無し)基幹の艦隊で北方AL海域に突入、敵を撃滅せよ！\n\n※「北方増援部隊主力」(3-5ボス戦)にS勝利で達成\n\n※戦艦2隻+軽空母1隻+自由枠\n\n※(戦艦級+航空母艦)4隻以上でボス前逸れ確定
B33	「西村艦隊」南方海域へ進出せよ！	「西村艦隊」を南方海域へ進出させ、敵主力艦隊へ突入、これを撃滅せよ！\n\n※「敵前線司令艦隊」（5-1ボス戦）にS勝利で達成\n\n※「西村艦隊」の5隻(「扶桑」+「山城」+「最上」+「時雨」+「満潮」)+自由枠。旗艦の指定なし
B34	「第六戦隊」南西海域へ出撃せよ！	「古鷹」「加古」「青葉」「衣笠」を基幹とした「第六戦隊」で、沖ノ島沖の敵艦隊を撃滅せよ！\n\n※「敵主力艦隊」(2-5ボス戦)にS勝利で達成\n\n※上記の4隻+自由枠
B35	「第十一駆逐隊」出撃せよ！	「第十一駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃破せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にB勝利以上で達成\n\n※「第十一駆逐隊」の4隻(「吹雪」+「白雪」+「初雪」+「叢雲」)+自由枠
B36	「第十一駆逐隊」対潜哨戒！	「第十一駆逐隊」を含む艦隊で鎮守府正面へ展開、対潜哨戒を実施せよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス戦)に勝利またはC敗北で達成(D敗北では不可)\n\n※ルート分岐の関係上、「第十一駆逐隊」の4隻(「吹雪」+「白雪」+「初雪」+「叢雲」)のみで出撃する必要がある
B37	「第二一駆逐隊」出撃せよ！	「第二一駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！\n\n※「敵北方侵攻艦隊」(3-1ボス戦)にS勝利で達成\n\n※「初春」+「子日」+「若葉」+「初霜」の4隻+自由枠
B38	「那智戦隊」抜錨せよ！	旗艦「那智」及び「初霜」「霞」「潮」「曙」他1隻の艦隊でバシー島沖の敵を殲滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)にS勝利で達成\n\n※旗艦「那智」+「初霜」+「霞」+「潮」+「曙」+自由枠*19
B39	「第二二駆逐隊」出撃せよ！	「第二二駆逐隊」を含む艦隊で南西諸島防衛線に出撃、敵主力艦隊を撃滅せよ！\n\n※「敵機動部隊」(1-4ボス戦)にS勝利で達成\n\n※「第二二駆逐隊」の4隻(「皐月」+「文月」+「長月」+駆逐艦1隻)+自由枠\n\n※第二二駆逐隊の一員である「水無月」は、当時未実装だったこともあり、自由駆逐艦枠に含まれる。
B40	「改装防空重巡」出撃せよ！	摩耶改または摩耶改二及び軽巡1駆逐2隻を含む艦隊でオリョール海の敵艦隊を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※上記の4隻+自由枠
B41	新編「三川艦隊」ソロモン方面へ！	第一艦隊に編成した「三川艦隊」を南方海域に進出させ、同方面の敵艦隊を撃滅せよ！\n\n※「敵前線司令艦隊」(5-1ボス戦)にS勝利で達成\n\n※第一艦隊 旗艦「鳥海改二」+(「古鷹」「加古」「青葉」「衣笠」「夕張」「天龍」)より5隻 自由枠無し
B42	「第六駆逐隊」対潜哨戒なのです！	「第六駆逐隊」を含む艦隊で鎮守府正面へ展開、対潜哨戒を実施せよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス戦)に勝利またはC敗北で達成(D敗北では不可)\n\n※ルート分岐の関係上「第六駆逐隊」の4隻(「暁」+「響」+「雷」+「電」)のみで出撃する必要がある
B43	抜錨！「第十八戦隊」	「天龍」「龍田」を基幹戦力とした「第十八戦隊」で出撃し、オリョール海の敵主力を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※編成任務同様、上記の2隻+自由枠。旗艦指定は特になし
B44	海上突入部隊、進発せよ！	「比叡」「霧島」「長良」「暁」「雷」「電」の艦隊で、南方海域進出作戦を実施、敵を撃滅せよ！\n\n※「敵前線司令艦隊」(5-1ボス戦)にS勝利で達成
B45	「第六駆逐隊」対潜哨戒を徹底なのです！	「第六駆逐隊」を含む艦隊で鎮守府正面で対潜哨戒を実施、敵潜水艦部隊を痛打せよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス戦)にA勝利以上で達成\n\n※ルート分岐の関係上、「第六駆逐隊」の4隻(「暁」+「響」+「雷」+「電」)のみで出撃する必要がある\n\n※A53と異なり、「暁改二」でなくても可
B46	「第一水雷戦隊」ケ号作戦、突入せよ！	北方突入準備を完了した「一水戦」で北方キス島に突入！包囲網を破り、友軍を救出せよ！\n\n※「敵キス島包囲艦隊」(3-2ボス戦)にB勝利以上で達成 【要確認】\n\n※旗艦「阿武隈」+「響」+「初霜」+「若葉」+「五月雨」+「島風」
B47	「第一水雷戦隊」北方ケ号作戦、再突入！	北方再突入準備の新編「一水戦」で北方キス島に再突入を敢行、同撤収作戦を完遂せよ！\n\n※「敵キス島包囲艦隊」(3-2ボス戦)のS勝利で達成\n\n※旗艦「阿武隈改二」+「響」+「夕雲」+「長波」+「秋雲」+「島風」
B48	鎮守府正面の対潜哨戒を強化せよ！	鎮守府正面の対潜哨戒を強化し、海上資源輸送路の安全を確立せよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス戦)に4回A勝利以上で達成\n\n※月末を過ぎるとカウントリセット。B勝利がカウントされる提督もあり\n\n※B勝利の時のみ、詳細な報告を求む *20
B49	「空母機動部隊」北方海域に進出せよ！	航空母艦を旗艦とした空母機動部隊を北方AL海域方面に展開、敵戦力を撃滅せよ！\n\n※「北方増援部隊主力」(3-5ボス戦)にS勝利で達成\n\n※軽空母が旗艦では失敗の報告があるので注意\n\n※旗艦軽空母で失敗の詳細な報告を求む*21
B50	「第五航空戦隊」珊瑚諸島沖に出撃せよ！	再編成した「第五航空戦隊」を珊瑚諸島沖に展開、敵機動部隊を捕捉撃滅せよ！\n\n※「敵機動部隊本隊」(5-2ボス戦)にS勝利で達成\n\n※「翔鶴」+「瑞鶴」+「朧」+「秋雲」+自由枠2隻。旗艦は任意
B51	新編「第二一戦隊」北方へ出撃せよ！	新編「第二一戦隊」を基幹とする艦隊で北方海域モーレイ海に出撃、敵を撃滅せよ！\n\n※「敵北方侵攻艦隊」(3-1ボス戦)にS勝利で達成\n\n※「那智改二」+「足柄改二」+「多摩」+「木曾」+自由枠2隻。旗艦は任意
B52	「第十六戦隊(第一次)」出撃せよ！	「第十六戦隊(第一次)」をバシー島沖に展開、敵艦隊を撃滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)にS勝利で達成\n\n※旗艦「足柄」+「球磨」+「長良」+自由枠3隻
B53	「第三航空戦隊」南西諸島防衛線に出撃！	編成した「第三航空戦隊」を南西諸島防衛線に展開、敵侵攻部隊を捕捉迎撃せよ！\n\n※「敵機動部隊」(1-4ボス戦)にS勝利で達成\n\n※旗艦「瑞鶴改」+「千歳航」+「千代田航」+「瑞鳳」+自由枠2隻
B54	「小沢艦隊」出撃せよ！	「小沢艦隊」を沖ノ島海域前面に展開し、侵攻する敵機動部隊を捕捉、これを撃滅せよ！\n\n※「敵侵攻中核艦隊」(2-4ボス戦)にS勝利で達成\n\n※旗艦「瑞鶴改」+「瑞鳳改」+「千歳航」+「千代田航」+「伊勢改」+「日向改」
B55	「第十六戦隊(第二次)」出撃せよ！	「第十六戦隊(第二次)」をオリョール海に展開、敵主力艦隊を捕捉、これを撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※旗艦「名取」+「五十鈴」+「鬼怒」+自由枠3隻
B56	新編成航空戦隊、北方へ進出せよ！	「新編成航空戦隊」をアルフォンシーノ方面へ進出、敵泊地の機動部隊を撃滅せよ！\n\n※「深海棲艦泊地艦隊」(3-3ボス戦)にS勝利で達成\n\n※空母2隻+(航空戦艦or航空巡洋艦)2隻+駆逐艦2隻\n\n※A64未開放で出現の報告あり
B57	「礼号作戦」実施せよ！	精強な「水上反撃部隊」で、南西諸島沖ノ島沖に突入！同海域の敵戦力を撃滅せよ！\n\n※「敵主力艦隊」(2-5ボス戦)にS勝利で達成\n\n※旗艦「霞」+「足柄」+「大淀」+「朝霜」+「清霜」+自由枠1隻
B58	旗艦「霞」北方海域を哨戒せよ！	旗艦「霞改二」で駆逐艦4隻を含む艦隊を北方海域に投入し、モーレイ海哨戒を実施せよ！\n\n※「敵北方侵攻艦隊」(3-1ボス戦)にB勝利以上で達成\n\n※旗艦「霞改二/改二乙」+駆逐3隻+自由枠2隻
B59	旗艦「霞」出撃！敵艦隊を撃滅せよ！	旗艦「霞改二」で駆逐艦3隻を含む艦隊で南西諸島沖ノ島沖に突入！敵主力を撃滅せよ！\n\n※「敵主力艦隊」(2-5ボス戦)にS勝利で達成\n\n※旗艦「霞改二/改二乙」+駆逐2隻+自由枠3隻
B60	「第三十一戦隊」出撃せよ！	第三十一戦隊(第一次)を鎮守府近海航路に出撃させ、同航路の安全確保に努めよ！\n\n※1-6を1回クリア(ゴール地点へ到達)で達成\n\n※旗艦「五十鈴改二」+「皐月改二」+「卯月改」+自由枠3隻
B61	「第二七駆逐隊」出撃せよ！	「白露改」旗艦の第二七戦隊を含む艦隊をオリョール海に展開、同海域の敵艦隊を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※旗艦「白露改」+「時雨」+「春雨」+「五月雨」+自由枠2隻\n\n※白露改二、時雨改二でも達成可能
B62	強襲上陸作戦用戦力を増強せよ！	中部海域における航空偵察「K作戦」を実施しつつ、強襲上陸作戦用戦力の強化を図れ！\n\n※「留守泊地旗艦艦隊」(6-3ボス戦)にB勝利以上で達成
B63	製油所地帯を防衛せよ！	水雷戦隊を製油所地帯沿岸に展開！同海域に出没する敵艦隊を三回以上撃滅せよ！\n\n※「敵主力部隊」(1-3ボス戦)に3回S勝利で達成\n\n※軽巡1隻(2隻以上不可)+駆逐1～5隻(旗艦指定なし)\n\n※軽巡と駆逐以外の艦種は不可
B64	南西諸島防衛線を強化せよ！	南西諸島防衛線に有力な艦隊を展開、同方面に来襲する敵艦隊を五回以上撃滅せよ！\n\n※「敵機動部隊」(1-4ボス戦)に5回S勝利で達成
B65	オリョール海の制海権を確保せよ！	大潮を旗艦とする艦隊を東部オリョール海に反復出撃、同方面敵艦隊を完全撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)に6回S勝利で達成\n\n※「大潮」旗艦+自由枠5隻
B66	旗艦「大潮」出撃せよ！	「大潮改二」旗艦の有力な艦隊を北方AL海域に展開、北方海域戦闘哨戒を実施せよ！\n\n※「北方増援部隊主力」(3-5ボス戦)にS勝利で達成\n\n※「大潮改二」旗艦＋自由枠5隻
B67	艦隊、三周年！	三周年を記念しバシー島沖及び東部オリョール海に出撃、同海域の敵艦隊を撃滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)及び「敵主力打撃群」(2-3ボス戦)を各1回S勝利で達成\n\n※通常任務(期間限定ではない)
B68	強行高速輸送部隊、出撃せよ！	「江風改二」「時雨改二」「川内改二」他駆逐2隻を含む艦隊で、ジャム島攻略作戦を実施せよ！\n\n※「東方派遣艦隊」(4-1ボス戦)にA勝利以上で達成\n\n※「川内改二」+「江風改二」+「時雨改二」+駆逐2隻+自由枠1隻
B69	「第一航空戦隊」西へ！	旗艦「赤城」同僚艦「加賀」を中核とする艦隊で、深海東洋艦隊漸減作戦を貫徹せよ！\n\n※「リランカ島港湾守備隊」(4-5ボス戦)にS勝利で達成\n\n※旗艦「赤城」+「加賀」+自由枠4隻
B70	新編艦隊、南西諸島防衛線へ急行せよ！	水雷戦隊を含む新編艦隊を南西諸島防衛線に展開、同方面に来襲する敵艦隊を撃破せよ！\n\n※「敵機動部隊」(1-4ボス)にA勝利以上で達成\n\n※旗艦軽巡級+駆逐4隻+自由枠1隻
B71	鎮守府近海航路の安全確保を強化せよ！	水雷戦隊を含む新編戦隊を鎮守府近海航路に出撃させ、同航路の安全確保に努めよ！\n\n※1-6を1回クリア(ゴール地点へ到達)で達成\n\n※旗艦(軽巡/練巡)+駆逐4隻+自由枠1隻\n\n※ゴール地点到達までに轟沈で駆逐が3隻以下になると達成不可
B72	「第三十一戦隊」敵潜を制圧せよ！	第三十一戦隊(第一次)を鎮守府近海航路に再投入！反復出撃し、敵潜を制圧せよ！\n\n※1-6を2回クリア(ゴール地点へ到達)で達成\n\n※旗艦「五十鈴改二」+「皐月改二」+「卯月改」+自由枠3隻
B73	新編「第八駆逐隊」出撃せよ！	新編「第八駆逐隊」を含む艦隊を鎮守府近海航路に出撃させ、同航路の安全確保に努めよ！\n\n※1-6を1回クリア(ゴール地点へ到達)で達成\n\n※旗艦「朝潮改二/改二丁」+「満潮」+「大潮」+「荒潮」+自由枠2隻
B74	精鋭「八駆第一小隊」対潜哨戒！	「第八駆逐隊第一小隊」を含む艦隊で鎮守府正面対潜哨戒を反復実施！敵潜を圧倒せよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス)に2回S勝利で達成\n\n※ルート分岐の関係上、「朝潮改二丁」+「大潮改二」+自由枠2隻の4隻のみで出撃する必要がある
B75	水雷戦隊、南西防衛線に反復出撃せよ！	軽巡級旗艦と駆逐艦4隻を基幹とした護衛艦隊を編成、南西諸島防衛線に反復出撃し、同海域の制海権確保に努めよ！\n\n※「敵機動部隊」(1-4ボス)に2回A勝利以上で達成\n\n※旗艦軽巡級+駆逐4隻+自由枠1隻\n\n※軽巡級枠は雷巡や練巡でも達成可
B76	製油所地帯沿岸の哨戒を実施せよ！	軽空母旗艦と駆逐艦3隻を基幹とした護衛艦隊を編成、製油所地帯沿岸に展開し、同海域の哨戒を実施、同海域の安全を確保せよ！\n\n※「敵主力艦隊」(1-3ボス)にS勝利で達成\n\n※旗艦軽空母+駆逐3隻+自由枠2隻
B77	水雷戦隊、南西諸島海域を哨戒せよ！	水雷戦隊を基幹とした有力な艦隊で南西諸島海域バシー島及び東部オリョール海を哨戒、同海域に遊弋する敵艦隊を捕捉、これを撃滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)及び「敵主力打撃群」(2-3ボス戦)を各1回S勝利で達成\n\n※旗艦軽巡級+駆逐4隻+自由枠1隻\n\n※軽巡級枠は雷巡や練巡でも達成可
B78	「第十九駆逐隊」出撃せよ！	特型駆逐艦4隻による「第十九駆逐隊」を鎮守府近海に展開！鎮守府正面対潜哨戒を実施し、跳梁する敵潜水部隊の制圧に努めよ！\n\n※「敵通商破壊主力艦隊」(1-5ボス戦)にA勝利以上で達成\n\n※ルート分岐の関係上、「第十九駆逐隊」の4隻(「磯波」+「浦波」+「綾波」+「敷波」)のみで出撃する必要がある
B79	「第十九駆逐隊」敵主力に突入せよ！	「第十九駆逐隊」を含む有力な艦隊を編成し、南西諸島海域沖ノ島沖に展開！同方面に遊弋する敵主力を捕捉、これを撃破せよ！\n\n※「敵主力艦隊」(2-5ボス戦)にA勝利以上で達成\n\n※「第十九駆逐隊」(「磯波」+「浦波」+「綾波」+「敷波」)4隻+自由枠2隻
B80	飛行場設営の準備を実施せよ！	中部海域における航空偵察「K作戦」を再度実施、さらに同方面に遊弋する敵艦隊を撃滅し、中部海域における飛行場設営の準備を実施せよ！\n\n※「留守泊地旗艦艦隊」(6-3ボス戦)にS勝利で達成\n\n※(B62)強襲上陸作戦用戦力を増強せよ！と出撃海域が同一であるため見間違いに注意
B81	夜間突入！敵上陸部隊を叩け！	南方サブ島沖海域へ精鋭部隊を突入！敵部隊の邀撃を突破し、同方面の敵上陸部隊を叩け！！\n\n※「敵サーモン方面主力艦隊」(5-3ボス戦)にA勝利以上で達成
B82	夜の海を照らす「灯り」を入手せよ！	有力な艦隊を南西諸島近海に投入、同方面に出没する敵艦隊を捕捉、これを撃滅せよ！そして夜を照らす「灯り」を入手せよ！ある季節は夜戦以外にも使い道があるようだ！\n\n※「敵主力艦隊」(2-1ボス戦)にS勝利で達成
B83	南西諸島防衛線を増強せよ！	水上機母艦または航空巡洋艦を旗艦とする有力な艦隊を南西諸島防衛線に投入、水上機戦力によって同防衛線を強化、同方面の敵艦隊を撃滅せよ！\n\n※「敵機動部隊」(1-4ボス戦)にS勝利で達成\n\n※旗艦(「水母」/「航巡」)+自由枠5隻
B84	「第十六戦隊(第三次)」出撃せよ！	「第十六戦隊(第三次)」を沖ノ島海域前面に展開、敵主力艦隊を捕捉、これを撃破せよ！\n\n※「敵侵攻中核艦隊」(2-4ボス戦)にA勝利以上で達成\n\n※「鬼怒」+「青葉」+「北上」+「大井」+自由枠2隻
B85	精鋭「第十六戦隊」突入せよ！	再編成を完了した精鋭「第十六戦隊」を南西諸島海域沖ノ島沖に展開、同方面に遊弋する敵主力を捕捉、これを撃破せよ！\n\n※「敵主力艦隊」(2-5ボス戦)にS勝利で達成\n\n※旗艦「鬼怒改二」+(「北上改二」「大井改二」「球磨改」「青葉改」「浦波改」「敷波改」)より5隻、合計6隻の艦隊で出撃。自由枠は無し
B86	輸送作戦を成功させ、帰還せよ！	「鬼怒改二」を旗艦、僚艦に「浦波改」他駆逐艦3隻の計5隻の艦隊でバシー島沖における柳輸送作戦を実施、同輸送作戦を完全成功させ、帰還せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)にS勝利で達成\n\n※旗艦「鬼怒改二」+「浦波改」+駆逐3隻+自由枠1隻\n\n※テキストには計5隻とあるが自由枠を含む計6隻でも達成可\n※ただし駆逐が5隻だと達成不可
B87	重巡戦隊、抜錨せよ！	重巡4隻を基幹戦力とした重巡旗艦の艦隊を南西諸島海域東部オリョール海に展開し、同海域の敵艦隊を撃滅、制海権を確保せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※旗艦重巡級+重巡級3隻+自由枠2隻 (重巡級は航巡を含む)
B88	戦艦戦隊、出撃せよ！	戦艦2隻を中核戦力とする戦艦旗艦の艦隊を北方海域アルフォンシーノ方面に進出させ、同海域の敵戦艦を撃滅、北方海域の制海権確保に努めよ！\n\n※「深海棲艦泊地艦隊」(3-3ボス戦)にS勝利で達成\n\n※戦艦(航戦・海外艦可)を旗艦とし、随伴に戦艦(航戦・海外艦可)1隻+自由枠4隻
B89	主力戦艦戦隊、抜錨せよ！	戦艦または航空戦艦2隻以上からなる強力な戦艦戦隊を中核とした艦隊を沖ノ島海域前面に展開、侵攻する敵艦隊を捕捉、これを撃滅せよ！\n\n※「敵侵攻中核艦隊」(2-4ボス戦)にS勝利で達成\n\n※低速戦艦2隻または航空戦艦2隻+自由枠4隻\n\n※高速戦艦は自由枠扱いになるので注意\n
B90	精鋭「第八駆逐隊」突入せよ！	「荒潮改二」を旗艦とし、僚艦に「第八駆逐隊」から1隻を配備した精鋭第1艦隊でサーモン海域北方に突入、同方面に接近する有力な敵艦隊を捕捉、同方面の敵戦力の漸減に務めよ！\n\n※「敵任務部隊本隊」(5-5ボス戦)に2回A勝利以上で達成\n\n※第一艦隊 旗艦「荒潮改二」+(「朝潮」「大潮」「満潮」)より1隻+自由枠4隻
B91	潜水艦隊、中部海域の哨戒を実施せよ！	潜水艦を旗艦とし、4隻以上の有力な潜水艦を配備した第一艦隊、精鋭潜水艦隊で中部海域哨戒線に進出、回航中の敵空母を捕捉、これを襲撃せよ！\n\n※「敵回航中空母」(6-1ボス戦)にB勝利以上で達成\n\n※第一艦隊 旗艦(潜水艦/潜水空母)+(潜水艦/潜水空母)3隻+自由枠2隻
B92	重装甲巡洋艦、鉄底海峡に突入せよ！	第一艦隊旗艦に「Zara due」を配備、同艦隊で南方サブ島沖海域へ突入！同方面の敵艦隊群を突破し、鉄底海峡に展開する敵戦力を撃破せよ！\n\n※「敵サーモン方面主力艦隊」(5-3ボス戦)にA勝利以上で達成\n\n※第一艦隊 旗艦「Zara due」+自由枠5隻
B93	南西諸島方面の敵艦隊を撃破せよ！	軽巡を旗艦とした艦隊を編成し、南西諸島防衛線、バシー島沖及び東部オリョール海に展開、同海域に遊弋する敵艦隊を撃破せよ！\n\n※「敵機動部隊」(1-4ボス戦)及び「敵通商破壊艦隊」(2-2ボス戦)、「敵主力打撃群」(2-3ボス戦)を各1回A勝利以上で達成\n\n※旗艦軽巡+自由枠5隻
B94	洋上航空戦力を拡充せよ！	航空母艦、または水上機母艦を旗艦とした有力な艦隊を編成、北方AL海域、西方海域カスガダマ沖、中部海域MS諸島沖に展開し、各海域の敵艦隊を撃滅せよ！\n\n※「北方増援部隊主力」(3-5ボス戦)及び「敵東方中枢艦隊」(4-4ボス戦)、「敵攻略部隊本体」(6-2ボス戦)を各1回S勝利で達成\n\n※旗艦(空母/水母)+自由枠5隻
B95	改装航空巡洋艦、出撃！	改装航空巡洋艦「鈴谷改二」を旗艦とした精強な艦隊を編成、同艦隊を南方海域に展開、南方海域前面、及びサブ島沖海域に遊弋する敵艦隊群を捕捉、これを撃破せよ！\n\n※「敵前線司令艦隊」(5-1ボス戦)及び「敵サーモン方面 主力艦隊」(5-3ボス戦)を各1回A勝利以上で達成\n\n※旗艦「鈴谷改二」+自由枠5隻
B96	改装攻撃型軽空母、前線展開せよ！	改装航空母艦「鈴谷航改二」を旗艦とした精強な機動部隊を編成、同艦隊を中部海域に進出。\nMS諸島沖、KW環礁沖海域に展開し、同海域の敵機動部隊を捕捉、これを撃滅せよ！\n\n※「敵攻略部隊本体」(6-2ボス戦)及び「任務部隊 主力群」(6-5ボス戦)を各1回S勝利で達成\n\n※旗艦「鈴谷航改二」+自由枠5隻
B97	鎮守府海域警戒を厳とせよ！	巡洋艦クラスを旗艦に配備、2隻以上の駆逐艦を擁する警戒艦隊を編成せよ。同警戒艦隊を以て、鎮守府海域(南西諸島*23/製油所地帯沿岸/南西諸島防衛線/鎮守府近海)の警戒任務にあたれ！\n\n※「敵主力部隊」(1-2ボス戦)及び「敵主力艦隊」(1-3ボス戦)及び「敵機動部隊」(1-4ボス戦)、「敵通商破壊主力艦隊」(1-5ボス戦)を各1回A勝利以上で達成\n\n※旗艦巡洋艦(重巡級/軽巡級)+駆逐艦2隻+自由枠3隻\n\n※巡洋戦艦(高速戦艦)では不可なので注意
B98	海上護衛体制の強化に努めよ！	海上護衛作戦：駆逐艦または海防艦３隻以上を含む護衛艦隊を編成し、鎮守府海域の製油所地帯沿岸、南西諸島防衛線、鎮守府近海、鎮守府近海航路にそれぞれ展開、各海域における作戦を成功させよ！\n\n※「敵主力艦隊」(1-3ボス戦)及び「敵機動部隊」(1-4ボス戦)、「敵通商破壊主力艦隊」(1-5ボス戦)を各1回S勝利。1-6を1回クリア(ゴール地点へ到達)で達成\n\n※(駆逐艦/海防艦)3隻＋自由枠3隻(1-5に限りルート制御のため自由枠1隻)\n\n※駆逐艦と海防艦の合計が3隻以上なら片方の艦種だけでも可
B99	新編「第一戦隊」、抜錨せよ！	新編「第一戦隊」出撃任務：戦艦「長門改二」を旗艦、二番艦に「陸奥改」を配備した第一艦隊で出撃！ カレー洋リランカ島沖、サーモン海域北方に展開し、同海域の敵艦隊主力を捕捉、これを撃滅せよ！\n\n※第一艦隊 旗艦「長門改二」+二番艦「陸奥改」+自由枠4隻とし、「リランカ島港湾守備隊」(4-5ボス戦)及び「敵任務部隊本隊」(5-5ボス戦)を各1回S勝利で達成
B100	増強海上護衛総隊、抜錨せよ！	出撃任務：軽巡1隻以上、駆逐艦または海防艦2隻以上、さらに航空巡洋艦または軽空母で増強した第一護衛艦隊を第一艦隊に編成、南西諸島海域の各海域に展開、敵艦隊を撃破、各作戦を成功させよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)及び「敵主力打撃群」(2-3ボス戦)及び「敵侵攻中核艦隊」(2-4ボス戦)、「敵主力艦隊」(2-5ボス戦)を各1回A勝利以上で達成\n\n※軽巡1隻以上・駆逐艦または海防艦(混在可)2隻以上・航巡または軽空母1隻+自由枠2隻
B101	新編「第七戦隊」、出撃せよ！	出撃任務：新編「第七戦隊」を出撃！カレー洋リランカ島沖「深海東洋艦隊漸減作戦」、MS諸島沖「MS諸島防衛戦」において、敵艦隊主力を捕捉、これを撃滅せよ！\n\n※「リランカ島港湾守備隊」(4-5ボス戦)及び「敵攻略部隊本体」(6-2ボス戦)を各1回S勝利で達成\n\n※第一艦隊旗艦「熊野改二/航改二」+二番艦「鈴谷改二/航改二」+「最上改」+「三隈改」+自由枠2隻
B102	精鋭「第四航空戦隊」、抜錨せよ！	精鋭「第四航空戦隊」出撃任務：精鋭航空戦艦を主戦力に再編された「第四航空戦隊」、抜錨せよ！沖ノ島沖戦闘哨戒及び北方AL海域戦闘哨戒を実施、同方面の敵艦隊主力を捕捉、これを撃破せよ！\n\n※「敵主力艦隊」(2-5ボス戦)及び「北方増援部隊主力」(3-5ボス戦)を各1回A勝利以上で達成\n\n※「伊勢改(Lv50以上)」+「日向改(Lv50以上)」+軽巡1隻+駆逐2隻+自由枠1隻\n\n※第一艦隊にてLv50以上の「伊勢改」/「日向改」を旗艦・二番艦(二番目)に編成する必要があるので注意\n※2-5のルートに関しては該当海域下部の「任務に関して」を参照\n
B103	旗艦「由良」、抜錨！	出撃任務：旗艦に「由良改二」、随伴艦に二駆「村雨」「夕立」「春雨」「五月雨」及び「秋月」から2隻以上を配備した第一艦隊を展開、東部オリョール海及び南方海域前面の敵戦力を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)及び「敵前線司令艦隊」(5-1ボス戦)に各1回S勝利で達成\n\n※第一艦隊 旗艦「由良改二」+(「村雨」「夕立」「春雨」「五月雨」「秋月」)より2隻+自由枠3隻
B104	精鋭「第二二駆逐隊」出撃せよ！	出撃任務：再編した精鋭「第二二駆逐隊」を含む精強な水雷戦隊で北方海域キス島沖に出撃、キス島撤退作戦を完全成功させよ！\n\n※「敵キス島包囲艦隊」(3-2ボス戦)にS勝利で達成\n\n※「文月改二」+「皐月改二」+「長月改」+「水無月改」+自由枠2隻\n\n※ルート固定のために自由枠2隻は駆逐2隻/軽巡1隻・駆逐1隻/軽巡1隻・補給1隻のいずれかとなるので注意
B105	精強大型航空母艦、抜錨！	「Saratoga Mk.II」または同「Mod.2」を旗艦とした「任務部隊」で、南方海域サーモン海域北方及び中部海域MS諸島沖に展開、同海域敵戦力を捕捉撃滅、「MS諸島防衛戦」を成功させよ！\n\n※第一艦隊旗艦「Saratoga Mk.II/Mod.2」+軽巡1隻+駆逐2隻+自由枠2隻とし、「敵任務部隊本隊」(5-5ボス戦)及び「敵攻略部隊本体」(6-2ボス戦)を各1回S勝利で達成
